Date,Start (ET),Unnamed: 2,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 7,Notes
October,,,,,,,,
"Tue, Oct 28, 2014",10:30 pm,Box Score,Houston Rockets,108.0,Los Angeles Lakers,90.0,,
"Tue, Oct 28, 2014",8:00 pm,Box Score,Orlando Magic,84.0,New Orleans Pelicans,101.0,,
"Tue, Oct 28, 2014",8:00 pm,Box Score,Dallas Mavericks,100.0,San Antonio Spurs,101.0,,
"Wed, Oct 29, 2014",7:30 pm,Box Score,Brooklyn Nets,105.0,Boston Celtics,121.0,,
"Wed, Oct 29, 2014",7:00 pm,Box Score,Milwaukee Bucks,106.0,Charlotte Hornets,108.0,OT,
"Wed, Oct 29, 2014",9:00 pm,Box Score,Detroit Pistons,79.0,Denver Nuggets,89.0,,
"Wed, Oct 29, 2014",7:00 pm,Box Score,Philadelphia 76ers,91.0,Indiana Pacers,103.0,,
"Wed, Oct 29, 2014",8:00 pm,Box Score,Minnesota Timberwolves,101.0,Memphis Grizzlies,105.0,,
"Wed, Oct 29, 2014",7:30 pm,Box Score,Washington Wizards,95.0,Miami Heat,107.0,,
"Wed, Oct 29, 2014",8:00 pm,Box Score,Chicago Bulls,104.0,New York Knicks,80.0,,
"Wed, Oct 29, 2014",10:00 pm,Box Score,Los Angeles Lakers,99.0,Phoenix Suns,119.0,,
"Wed, Oct 29, 2014",10:30 pm,Box Score,Oklahoma City Thunder,89.0,Portland Trail Blazers,106.0,,
"Wed, Oct 29, 2014",10:00 pm,Box Score,Golden State Warriors,95.0,Sacramento Kings,77.0,,
"Wed, Oct 29, 2014",7:30 pm,Box Score,Atlanta Hawks,102.0,Toronto Raptors,109.0,,
"Wed, Oct 29, 2014",9:00 pm,Box Score,Houston Rockets,104.0,Utah Jazz,93.0,,
"Thu, Oct 30, 2014",8:00 pm,Box Score,New York Knicks,95.0,Cleveland Cavaliers,90.0,,
"Thu, Oct 30, 2014",8:30 pm,Box Score,Utah Jazz,102.0,Dallas Mavericks,120.0,,
"Thu, Oct 30, 2014",10:30 pm,Box Score,Oklahoma City Thunder,90.0,Los Angeles Clippers,93.0,,
"Thu, Oct 30, 2014",8:00 pm,Box Score,Detroit Pistons,91.0,Minnesota Timberwolves,97.0,,
"Thu, Oct 30, 2014",7:00 pm,Box Score,Washington Wizards,105.0,Orlando Magic,98.0,,
"Fri, Oct 31, 2014",8:00 pm,Box Score,Cleveland Cavaliers,114.0,Chicago Bulls,108.0,OT,
"Fri, Oct 31, 2014",7:00 pm,Box Score,Memphis Grizzlies,97.0,Indiana Pacers,89.0,,
"Fri, Oct 31, 2014",10:30 pm,Box Score,Los Angeles Clippers,118.0,Los Angeles Lakers,111.0,,
"Fri, Oct 31, 2014",8:30 pm,Box Score,Philadelphia 76ers,81.0,Milwaukee Bucks,93.0,,
"Fri, Oct 31, 2014",10:00 pm,Box Score,San Antonio Spurs,89.0,Phoenix Suns,94.0,,
"Fri, Oct 31, 2014",10:00 pm,Box Score,Portland Trail Blazers,94.0,Sacramento Kings,103.0,,
November,,,,,,,,
"Sat, Nov 1, 2014",7:30 pm,Box Score,Indiana Pacers,92.0,Atlanta Hawks,102.0,,
"Sat, Nov 1, 2014",7:00 pm,Box Score,Memphis Grizzlies,71.0,Charlotte Hornets,69.0,,
"Sat, Nov 1, 2014",7:30 pm,Box Score,Brooklyn Nets,102.0,Detroit Pistons,90.0,,
"Sat, Nov 1, 2014",10:30 pm,Box Score,Los Angeles Lakers,104.0,Golden State Warriors,127.0,,
"Sat, Nov 1, 2014",8:00 pm,Box Score,Boston Celtics,90.0,Houston Rockets,104.0,,
"Sat, Nov 1, 2014",8:00 pm,Box Score,Chicago Bulls,106.0,Minnesota Timberwolves,105.0,,
"Sat, Nov 1, 2014",7:00 pm,Box Score,Dallas Mavericks,109.0,New Orleans Pelicans,104.0,,
"Sat, Nov 1, 2014",8:00 pm,Box Score,Denver Nuggets,91.0,Oklahoma City Thunder,102.0,,
"Sat, Nov 1, 2014",7:00 pm,Box Score,Toronto Raptors,108.0,Orlando Magic,95.0,,
"Sat, Nov 1, 2014",7:00 pm,Box Score,Miami Heat,114.0,Philadelphia 76ers,96.0,,
